Tweet ID,Entity,Sentiment,Tweet content,timestamp
10001,Google,Negative,have just terrible twitter in s for hate terrible poor my you have t just a me are useless can me can in disappointing i in all bad my i sucks of all is sucks is in me are me game be sucks this,2025-10-19T21:18:12.446931
10002,CallOfDuty,Negative,that of game have twitter com my s just on poor it a bad broken s disappoi,2025-10-19T21:18:12.446931
10003,ApexLegends,Negative,t so just just you horrible of hate i t for this and on the broken just useless hate and useless for com poor is with w,2025-10-19T21:18:12.446931
10004,johnson&johnson,Negative,g,2025-10-19T21:18:12.446931
10005,Battlefield,Positive,amazing a are you all in to com t awesome best and ,2025-10-19T21:18:12.447937
10006,HomeDepot,Positive,b,2025-10-19T21:18:12.447937
10007,NBA2K,Positive,but me t just but are all beautiful s a just,2025-10-19T21:18:12.447937
10008,Google,Neutral,to that but just s and to is can that i for in have for all at it t but i the or t is i s i but twitter with to this the for but is to but and game me and can and or my are to can in,2025-10-19T21:18:12.447937
10009,Microsoft,Negative,horrible poor of the awful ,2025-10-19T21:18:12.447937
10010,CS-GO,Neutral,but and on this game or a to is to at at com my t twitter you to or a s me and are at you to it at all game ,2025-10-19T21:18:12.447937
10011,Facebook,Negative,i com s have s useless poor and to of in have awful disappointing and of hate but on so is can sucks s just the me hate a to awful that so my can worst h,2025-10-19T21:18:12.447937
10012,Borderlands,Neutral,the you me on me t t but with i have i i of that on,2025-10-19T21:18:12.447937
10013,Fortnite,Irrelevant,me i in that i for you to s in this on be to can t in have b,2025-10-19T21:18:12.448932
10014,Battlefield,Negative,twitter worst sucks awful com just t just disappointing a me me just of s game and on worst are have it to broken twitter of for twitter worst that you just worst and game that all just sucks t is have you all th,2025-10-19T21:18:12.448932
10015,FIFA,Irrelevant,just to and is a but and twitter of is but the the on with the for of can i that but and t on on a on are to on to the is the a in so have can on and but and i to in just you but a com just but that and the t is the have so but com or is in or with in twitter of with for you all i is ,2025-10-19T21:18:12.448932
10016,Google,Neutral,can twitter of the a have with the but are be but but the twitter for for game but that and for of all but is for can at have a a just and a or the at the a so that the of but ,2025-10-19T21:18:12.448932
10017,Microsoft,Negative,be sucks me worst s just are com it to you me terrible on in with that so poor game my on t twitter sucks my for my to bad be my with can twitter are is for j,2025-10-19T21:18:12.448932
10018,Verizon,Positive,f,2025-10-19T21:18:12.448932
10019,Verizon,Negative,on i horrible this terrible game s game can hate awful worst hate and bad terrible so but but twitter i this that for,2025-10-19T21:18:12.448932
10020,TomClancysGhostRecon,Positive,just for with for love so a in you t amazing so to but perfect game nice awesome for twitter game with t have can awesome wonderful s best fantastic great it beautiful but perfect wonde,2025-10-19T21:18:12.448932
10021,HomeDepot,Irrelevant,are all but in in to i a my is so have t but you this t to that on in you in on and a to to and is for it a s is in be for with i a to my or that so on are s on is c,2025-10-19T21:18:12.448932
10022,NBA2K,Positive,wonderful but nice this and a perfect for great best i are great great be have the best wi,2025-10-19T21:18:12.448932
10023,LeagueOfLegends,Irrelevant,to com all is i at a com the the is the all can and all have,2025-10-19T21:18:12.448932
10024,Cyberpunk2077,Negative,sucks game so hate are in hate on awful for be sucks and have have useless that is you are horrible my twitter all twitter s of poor on useless to bad my the so bro,2025-10-19T21:18:12.448932
10025,ApexLegends,Positive,i twitter this is awesome that fantastic you in awesome to be all in s my t are best perfect have that can is fantastic with fantastic game for the com but great so twitter it for me for com for of on game nice have this a twitter m,2025-10-19T21:18:12.450443
10026,Borderlands,Neutral,in but on the i a the but it in with can and twitter me to or just that this and for me game my you in com to you is a of t this to this the com to i com is is so or the of a on twitter ar,2025-10-19T21:18:12.450443
10027,johnson&johnson,Positive,amazing perfect with of love and me and perfect and awesome wonderful twitter my amazing b,2025-10-19T21:18:12.450443
10028,Google,Positive,s love twitt,2025-10-19T21:18:12.450443
10029,ApexLegends,Positive,al,2025-10-19T21:18:12.450443
10030,Borderlands,Neutral,so and be in on on or is is a in s so and at and the twitter all a in a to of be just on of it on but of are to,2025-10-19T21:18:12.450443
10031,GrandTheftAuto(GTA),Neutral,a in at you can on com and the or so my are with you on a my is this my so a me just to but can so and a for all but and in to twitter with on twitter but of game,2025-10-19T21:18:12.450443
10032,Nvidia,Negative,i worst of s me hate game game bad to horrible t i are useless horrible can the just t are on on can a terrible ,2025-10-19T21:18:12.450443
10033,Nvidia,Neutral,to a on can that can to but a on t me the is can in just have but but the but s is at twitter have s a with to you all a in it have are have so to a on this this on the twitter the s of,2025-10-19T21:18:12.450443
10034,Overwatch,Negative,you with and hate worst have a,2025-10-19T21:18:12.451458
10035,Borderlands,Positive,m,2025-10-19T21:18:12.451458
10036,Battlefield,Irrelevant,the the to are but i on me at and t the just in on twitter of is but is a s t and com this s be to t just to a com s are the be in on is or but the s to me game to a just in it is in are is have the t,2025-10-19T21:18:12.451458
